-0.16064,0.30887,0.31253,-0.1515,-0.27963,0.56162,0.87072,1.2118,-0.38418,0.83868,-1
-0.42913,0.18177,0.097397,0.67589,-0.69525,-0.16844,0.43965,0.6967,-0.77663,0.66656,-0.72409
-0.1891,0.065256,0.042105,1.6999,-0.83422,-0.11617,0.065048,0.30246,-1,0.22686,0.012365
0.11043,-0.024782,-0.16354,1.4376,-0.80936,-0.23726,0.015256,0.14282,-0.54359,0.27119,0.39723
0.25688,-0.18128,-0.19006,1.2968,-0.72825,-0.46348,0.016711,0.027112,-0.40974,-0.03583,0.52502
0.22429,-0.19387,-0.24329,0.85522,-0.81924,-0.49904,0.29211,-0.039709,0.054757,0.13065,0.25405
0.19895,-0.22073,-0.23935,0.27092,-0.61369,-0.2344,0.36065,-0.02332,-0.23039,-0.14295,0.21638
0.24098,-0.1461,-0.012469,0.1373,-0.26427,-0.07125,0.10924,0.12878,-0.087303,0.061421,0.52733
0.33895,-0.064257,0.014519,-0.34433,0.082029,-0.039287,0.25324,-0.047544,-0.34979,0.026721,0.15821
0.25987,-0.03651,-0.071033,-0.27674,0.18356,0.083929,0.11878,-0.057631,0.011336,-0.11407,0.088039
-0.058592,-0.017283,0.033486,-0.65743,-0.17499,0.46414,0.076879,-0.048306,0.31433,-0.036175,0.10708
-0.035903,-0.043523,-0.05377,-0.59884,-0.1277,1.0216,0.042738,-0.044015,0.68493,-0.36845,0.15448
-0.010743,0.031315,-0.13831,-0.36354,-0.089373,0.93657,0.0082235,0.076517,0.54058,0.058283,0.42003
-0.012213,0.050179,-0.21431,-0.62245,-0.19095,0.61637,0.47761,0.11645,0.89874,-0.17626,0.61112
-0.12401,0.070776,-0.043254,-0.58998,0.69416,0.070743,0.54518,0.011812,0.65715,-0.0073681,0.24495
-0.32945,0.11554,-0.26288,-0.42953,1.3136,-0.32893,0.3061,-0.12297,0.42965,-0.13528,0.053575
-0.04358,0.10282,-0.044225,-0.3865,1.0198,-0.38098,0.03279,-0.25687,0.11628,-0.44437,0.01588
0.081606,0.22022,0.19287,-0.45959,0.1004,-0.27374,-0.31169,-0.15132,0.065134,-0.12545,-0.096831
0.15452,-0.010813,0.50559,-0.5377,-0.43147,0.069492,-0.50537,-0.14577,0.56321,-0.55454,-0.1436
0.16229,0.17451,-0.1725,-0.56727,0.41137,-0.14827,-0.59622,-0.2052,0.73367,-0.2146,-0.31084
0.039723,0.10859,-0.19572,-0.23063,1.1486,-0.49177,-0.59931,-0.31849,-0.026445,-0.050768,-0.37344
-0.047043,-0.20599,0.02328,-0.016361,1.2346,-0.42978,-0.80702,-0.39194,-0.39608,0.049703,-0.34491
-0.26088,-0.21906,0.33176,-0.078852,0.24697,-0.14413,-0.68857,-0.45652,-0.41907,0.19208,-0.37172
-0.3672,-0.065653,0.49118,-0.062443,-0.37671,0.20242,-0.52273,-0.40487,-0.44655,-0.11605,-0.42031
-0.46361,0.23497,0.30319,-0.20036,-0.72983,0.63984,0.27029,-0.18123,-0.21437,0.24089,-0.34808
0.019626,0.67702,2.1252,0.89098,0.27855,0.42301,0.94395,0.034049,0.74267,0.73525,0.62542
-0.020637,0.43375,3.4689,0.25682,-0.083591,0.82215,0.69636,-0.39897,0.43485,1.0542,0.85172
-0.31288,-0.055945,2.4561,-0.42197,-0.61429,0.90261,0.22921,-0.63029,-0.32537,1.2533,0.47255
-0.58167,-0.37543,1.4591,-0.67753,-0.83094,0.81324,-0.42299,-0.72051,-0.60513,0.98165,0.10447
-0.68745,-0.51436,0.93441,-0.90796,-0.73176,0.81989,-0.71522,-0.76197,-0.54246,1.1215,-0.070644
-0.72223,-0.59108,0.37794,-0.81224,-0.80288,0.80231,-0.66019,-0.77217,-0.52711,0.71961,-0.11179
-0.84457,-0.63122,0.52006,-0.87614,-0.75696,0.59433,-0.32462,-0.83251,-0.33347,0.59887,-0.10297
