0.1989,0.33582,-1,-0.19975,0.051906,-0.28187,-0.01557,-0.1414
0.057225,0.15958,-0.51359,0.016871,-0.17023,-0.39805,-0.18775,-0.29128
-0.15387,0.27195,0.069054,0.15096,-0.14085,-0.2784,-0.21187,-0.26586
-0.047579,0.15998,-0.11034,0.39592,-0.10626,-0.085761,-0.16977,-0.17319
-0.12602,-0.045585,0.76452,0.35204,-0.019302,-0.011454,-0.047118,-0.023814
-0.071595,-0.075295,0.93883,0.017828,-0.015325,0.08049,0.094246,0.21473
0.071346,0.022884,0.62086,-0.3482,0.013378,0.19894,0.0060701,0.17177
0.15779,0.075011,0.19715,-0.3706,0.10025,0.22125,0.24085,0.45605
0.088438,-0.080422,0.2,-0.19209,0.15187,0.10902,0.24536,0.30531
-0.147,-0.11614,0.05965,0.033178,0.23415,0.20643,0.16546,0.24424
-0.032695,-0.23264,0.5643,0.27858,0.30937,0.36302,0.67518,0.35514
0.082719,-0.24483,0.56153,0.19909,0.2377,0.25557,0.67249,0.3297
-0.0042746,-0.16333,-0.007047,-0.085368,0.22595,0.18394,0.50233,0.38831
-0.0088715,-0.16439,0.077259,-0.10936,0.17082,0.34137,0.29389,0.46977
-0.10813,-0.098259,0.16823,-0.073123,0.098264,0.52219,-0.043159,0.30738
-0.063501,-0.044076,0.046747,-0.097461,0.036712,0.39748,-0.055812,0.20342
-0.25406,0.028258,-0.63328,-0.19935,-0.15419,0.14003,-0.07858,0.15981
-0.27052,0.0072919,-0.20385,0.013209,-0.21896,-0.076898,-0.17689,-0.047136
-0.27563,0.1441,-0.27981,0.11365,-0.2396,-0.081193,-0.32233,-0.17347
0.051522,0.19155,-0.63284,0.18736,-0.26327,-0.29288,-0.28414,-0.35354
0.11378,0.087617,-0.77698,0.1143,-0.1136,-0.26311,-0.42601,-0.26683
0.20889,0.0069457,-0.39075,0.094294,0.0071414,-0.27486,-0.34882,-0.43441
0.29329,-0.13671,0.079983,-0.13985,-0.1031,-0.46157,-0.28595,-0.60063
0.23985,-0.089321,0.20037,-0.15211,-0.092822,-0.51369,-0.24209,-0.83406
0.3718,0.03888,0.75276,-0.35347,0.12963,-0.36427,-0.44512,-1
0.75756,0.81584,0.89783,-0.22252,0.18257,-0.090546,-0.38239,-0.69766
0.50597,0.82023,0.34782,-0.34407,-0.011952,-0.031989,-0.52034,-0.21649
0.17575,0.54166,0.58527,-0.15799,-0.092864,-0.34308,-0.83915,0.069268
-0.063005,0.47707,1.0302,-0.056622,-0.31927,-0.49431,-1,0.09303
-0.12063,0.5183,1.1119,-0.23897,-0.49423,-0.36453,-0.86724,0.070265
-0.18915,0.34808,1.5266,-0.30969,-0.60741,-0.34505,-0.82314,0.03437
-0.21714,0.22246,1.0075,-0.24873,-0.64279,-0.47264,-0.88606,0.020646
-0.27172,0.095741,1.2703,-0.35711,-0.69955,-0.40055,-0.87316,-0.058527
-0.31273,0.060602,1.3592,-0.26174,-0.81942,-0.56431,-0.52915,-0.20117
-0.49827,-0.071176,1.4499,-0.52403,-0.92627,-0.46183,-0.6359,-0.21632
-0.68356,-0.20243,1.7063,-0.53439,-0.91028,-0.68773,-0.35809,-0.27481
-0.602,-0.32351,2.3536,-0.64146,-0.89466,-0.70548,-0.33018,-0.23396
-0.69187,-0.43171,2.3202,-0.76908,-0.91202,-0.71472,-0.4263,-0.2552
-0.78099,-0.48226,2.5272,-0.55539,-0.92042,-0.75527,-0.40654,-0.41028
-0.81726,-0.44211,2.8815,-0.67405,-0.91934,-0.6943,-0.21384,-0.34005
-0.90657,-0.45451,2.5436,-0.84629,-1,-0.80812,-0.11421,-0.26382
-0.93377,-0.49437,2.3655,-0.77229,-0.94933,-0.92612,0.055201,-0.53907
-0.83447,-0.54965,2.1538,-0.68813,-0.93347,-0.67549,0.036093,-0.54023
