-0.80181,-1
0.62315,0.89559
1.2005,0.65911
0.50852,0.40729
-0.26207,0.13083
-0.86216,-0.17286
-1,-0.41678
-0.82658,-0.19254
-0.66474,-0.37953
-0.03065,-0.15958
0.72805,-0.13715
0.67527,-0.12221
0.68041,-0.1095
0.66429,-0.13703
0.19251,-0.083099
-0.090951,0.1546
0.072131,0.21368
0.52039,0.20582
0.29227,0.071354
-0.0046219,-0.14225
-0.6881,0.07752
-0.44911,-0.042601
-0.20301,-0.0078869
-0.27371,0.28723
-0.44796,0.47909
0.92691,5.7397
2.9907,9.9611
4.8715,9.3089
5.7265,9.5753
5.8288,9.5564
5.8733,9.2432
5.8601,9.3193
5.6592,9.433
5.8094,8.8787
5.4167,8.2815
5.8396,8.0389
6.2155,8.0215
5.2942,7.6829
4.2255,7.446
3.8871,7.6893
3.7319,8.4741
3.0798,8.1687
3.0232,7.5777
2.6658,6.6516
2.358,6.1956
2.5233,5.8702
2.8041,5.873
2.7912,6.1875
2.4613,5.9573
2.4265,5.2075
3.4479,5.1516
3.9412,5.6252
4.4367,4.7751
3.8047,3.9477
2.7762,2.9319
1.945,2.3078
1.5343,1.9679
1.328,1.5884
1.2006,1.1982
0.92842,0.93147
0.657,0.64288
0.50665,0.6536
0.52395,0.64762
0.35861,0.40508
0.2839,0.37081
0.31031,0.3797
0.26137,0.14769
0.21039,0.12714
0.1883,-0.091962
0.075516,0.027072
0.23236,0.27465
0.16242,0.39745
0.33294,0.29173
0.27675,-0.034382
-0.13886,0.17193
0.015987,0.34226
0.18354,0.19276
0.30428,0.21485
0.53292,0.36388
0.23219,0.53329
0.007382,0.29808
-0.050239,0.38318
-0.057301,0.32663
-0.24248,0.052884
-0.28228,-0.1793
-0.18523,0.0021083
-0.22185,-0.19258
-0.196,-0.17358
-0.044703,-0.0031048
-0.11325,-0.17436
0.065044,-0.15851
0.049954,-0.12513
-0.078976,-0.26784
-0.25564,-0.14281
0.063407,-0.13332
0.58925,-0.25027
0.12927,-0.20867
0.1633,0.081583
-0.11752,-0.070516
-0.13244,-0.059964
