-1,-0.48341,-0.71555,0.21776,1.631,0.50068,1.253,0.8179,-0.12656
-0.91778,-0.22189,1.1902,0.10261,1.2665,0.13166,1.0762,1.1306,-0.072701
-0.8688,-0.11976,0.9585,0.11662,1.1515,-0.13674,0.63875,0.03202,0.45396
-0.96429,-0.1198,-0.16773,-0.010178,1.121,-0.28899,0.099679,-0.8284,-0.039673
-0.99312,-0.082032,-0.93684,0.030154,0.62283,-0.53586,0.14587,-0.65315,-0.053519
-0.89835,0.23786,-1,0.038386,0.098233,-0.56301,0.1033,-0.67795,0.24972
-0.60391,-0.083192,-0.82769,0.069427,-0.26285,-0.47051,-0.33964,0.19228,-0.075919
-0.33381,-0.098991,-0.26628,0.1992,-0.12787,-0.27877,-0.36749,0.004561,-0.63785
0.094912,-0.15735,0.2618,0.29663,-0.20215,0.013863,-0.22084,-0.38726,0.1976
0.33773,-0.1436,0.19776,0.25058,-0.76932,0.29938,-0.59385,0.11632,-0.17252
0.46828,0.17007,0.54007,0.12107,-0.27812,0.81143,-1,0.5769,-0.28629
0.5378,0.20305,-0.028938,0.14586,-0.40122,0.57306,-0.82515,0.50261,-0.7382
0.68568,0.026903,-0.3025,0.18606,-0.19363,0.4915,-0.76752,-0.6967,-0.31645
0.75042,-0.12503,-0.26829,0.070759,-0.19413,0.085057,-0.12671,-0.61246,-0.11119
0.76558,0.041032,0.13222,0.029567,-0.91381,0.19894,-0.21387,-0.66986,0.50079
0.71741,-0.29616,0.45403,0.10325,-1,0.088073,-0.17441,-0.9871,0.38366
0.82326,-0.085835,0.55524,0.088175,-0.49033,0.06745,0.010237,0.27303,0.32326
0.70679,0.035117,0.17338,-0.24566,-0.37059,-0.30597,0.017866,1.1051,0.3268
0.36514,0.20179,0.052357,-0.21532,-0.50413,-0.11687,-0.074631,0.106,0.202
0.12945,0.082343,-0.027028,-0.27143,-0.41847,-0.1349,0.40442,-0.11231,0.4706
0.080824,-0.060904,0.36715,-0.38846,0.11148,-0.074127,0.21033,-0.32686,0.25697
0.027964,0.4435,-0.19164,-0.44081,0.048166,0.15626,0.466,-0.1166,-0.22937
0.10921,0.56215,-0.098794,-0.34799,0.024591,-0.19869,0.18398,0.15607,-0.41357
-0.020376,0.074118,-0.051379,-0.14626,0.051326,-0.31294,0.094473,1.0553,-0.091555
0.36417,0.48659,0.97471,0.19293,0.7874,0.38627,1.533,2.4416,0.43823
2.1578,3.8483,6.3019,0.59044,7.125,7.2275,9.1811,8.9679,5.4272
2.1957,4.6424,9.1311,0.77589,8.8029,8.0971,9.119,10.952,7.1228
1.8747,3.8435,8.0812,0.84297,7.7615,6.8372,7.5695,11.583,6.7727
